Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/terms,10,0,27,33.768180000333814,10.399200000392739,77.41710000118474,512.8,0.5870926550807836,0.0,28,30,31,77,77,77,77,77,77,77,77
DELETE,DELETE /terms/{term},6,1,24,37.47656666503948,18.917099994723685,86.52099999744678,4.5,0.35225559304847015,0.058709265508078354,29,29,44,44,87,87,87,87,87,87,87
GET,GET /terms,36,0,9,12.471336112058554,5.4906000004848465,27.897400002984796,577.7777777777778,2.113533558290821,0.0,9,11,19,21,26,27,28,28,28,28,28
GET,GET /terms/{term},21,0,16,20.30052857090985,5.092200000945013,86.56340000015916,185.0,1.2328945756696454,0.0,16,25,26,27,28,28,87,87,87,87,87
POST,POST /terms,8,0,76,80.16176250112039,30.79069999512285,143.51080000051297,162.0,0.46967412406462683,0.0,76,80,86,86,140,140,140,140,140,140,140
PUT,PUT /terms/{term},4,0,120.0,126.8089749974024,105.86979999789037,150.62749999924563,170.0,0.23483706203231342,0.0,130,130,150,150,150,150,150,150,150,150,150
,Aggregated,85,1,19,30.42765176488662,5.092200000945013,150.62749999924563,374.3058823529412,4.990287568186661,0.058709265508078354,19,26,28,31,80,110,140,150,150,150,150
