Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/terms,33,1,4400.0,5581.034890908279,3345.4865000021528,30089.554099999077,81341.72727272728,1.0274905320783945,0.031136076729648316,4400,5800,5900,6800,6900,7000,30000,30000,30000,30000,30000
GET,GET /terms/{term},1,0,4166.944600001443,4166.944600001443,4166.944600001443,4166.944600001443,164.0,0.031136076729648316,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
POST,POST /terms,2,0,2200.0,3690.2355999991414,2159.5481999975163,5220.9230000007665,165.0,0.06227215345929663,0.0,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200
,Aggregated,36,1,4400.0,5436.710199999248,2159.5481999975163,30089.554099999077,74576.97222222222,1.1208987622673394,0.031136076729648316,4400,5200,5900,6800,6900,7000,30000,30000,30000,30000,30000
