Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/terms,20,0,54,56.09333999964292,23.746799997752532,94.69730000273557,3689.0,5.060602170423516,0.0,56,64,71,72,83,95,95,95,95,95,95
DELETE,DELETE /terms/{term},2,0,27.324799993948545,27.901949997612974,27.324799993948545,28.479100001277402,0.0,0.5060602170423515,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,GET /terms,20,0,16,25.215875000867527,8.265399999800138,73.95949999772711,3721.4,5.060602170423516,0.0,17,33,35,44,55,74,74,74,74,74,74
GET,GET /terms/{term},8,0,13,15.287212500879832,8.957300000474788,28.570499998750165,164.125,2.024240868169406,0.0,13,16,19,19,29,29,29,29,29,29,29
POST,POST /terms,6,0,69,69.37111666775309,24.04470000328729,107.06090000167023,163.0,1.5181806511270546,0.0,72,72,77,77,110,110,110,110,110,110,110
PUT,PUT /terms/{term},3,1,51,66.79109999822685,43.29439999855822,105.90899999806425,125.0,0.7590903255635273,0.25303010852117575,51,51,110,110,110,110,110,110,110,110,110
,Aggregated,59,1,35,41.0319644070114,8.265399999800138,107.06090000167023,2557.186440677966,14.92877640274937,0.25303010852117575,35,53,62,69,74,95,110,110,110,110,110
