Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/terms,46,0,1800.0,2841.013332608228,149.24690000043483,6138.983400000143,87042.78260869565,3.0568283380929295,0.0,1900,4100,4800,4800,5600,5900,6100,6100,6100,6100,6100
DELETE,DELETE /terms/{term},1,0,93.88680000120075,93.88680000120075,93.88680000120075,93.88680000120075,0.0,0.06645278995854195,0.0,94,94,94,94,94,94,94,94,94,94,94
GET,GET /terms,27,1,1800.0,2372.7479962962443,81.18939999985741,5486.165499998606,83911.88888888889,1.7942253288806325,0.06645278995854195,1800,3700,5000,5000,5300,5400,5500,5500,5500,5500,5500
GET,GET /terms/{term},39,1,350.0,1479.6693333337316,7.648599996173289,6662.548400003288,161.7948717948718,2.591658808383136,0.06645278995854195,350,1500,3000,3300,4300,6100,6700,6700,6700,6700,6700
POST,POST /terms,8,0,1100.0,2927.8336875004243,656.2649000043166,6486.395100000664,165.0,0.5316223196683356,0.0,3500,4400,5800,5800,6500,6500,6500,6500,6500,6500,6500
PUT,PUT /terms/{term},9,2,5000.0,4147.461466666654,22.956400003749877,8744.388599996455,140.77777777777777,0.5980751096268775,0.1329055799170839,5000,6900,7200,8100,8700,8700,8700,8700,8700,8700,8700
,Aggregated,130,4,1500.0,2410.01248230767,7.648599996173289,8744.388599996455,48296.04615384615,8.638862694610452,0.2658111598341678,1600,3700,4500,4800,5800,6100,7200,8100,8700,8700,8700
